table_name,cid,column_name,type,notnull,default_value,pk
bandai_cardlist_scrape,0,bandai_series_id,TEXT,0,,1
bandai_cardlist_scrape,1,product_name,TEXT,1,,0
bandai_cardlist_scrape,2,rarities_json,TEXT,1,,0
bandai_cardlist_scrape,3,error,TEXT,0,,0
bandai_cardlist_scrape,4,scraped_at,TEXT,1,,0
card_intelligence,0,card_id,INTEGER,0,,1
card_intelligence,1,role_label,TEXT,1,'',0
card_intelligence,2,role_summary,TEXT,1,'',0
card_intelligence,3,deck_usage_summary,TEXT,1,'',0
card_intelligence,4,price_value,REAL,0,,0
card_intelligence,5,price_currency,TEXT,1,'',0
card_intelligence,6,price_source,TEXT,1,'',0
card_intelligence,7,price_url,TEXT,1,'',0
card_intelligence,8,updated_at,TEXT,1,'',0
card_intelligence,9,meta_relevance_score,REAL,0,,0
card_intelligence,10,top_leaders_json,TEXT,1,'[]',0
card_intelligence,11,rulings_summary,TEXT,1,'',0
card_intelligence,12,price_trend_note,TEXT,1,'',0
card_intelligence,13,confidence_score,REAL,0,,0
card_intelligence,14,source_summary,TEXT,1,'',0
card_intelligence,15,last_verified_at,TEXT,1,'',0
card_intelligence,16,legality_state,TEXT,1,'',0
card_intelligence,17,legality_note,TEXT,1,'',0
card_intelligence,18,rulings_sources_json,TEXT,1,'[]',0
card_intelligence,19,usage_profile_json,TEXT,1,'{}',0
card_intelligence,20,section_confidence_json,TEXT,1,'{}',0
card_intelligence,21,source_agreement_json,TEXT,1,'{}',0
card_intelligence,22,projection_sections_json,TEXT,1,'[]',0
card_intelligence,23,projection_source_updated_at,TEXT,1,'',0
card_intelligence,24,last_sync_reason,TEXT,1,'',0
card_intelligence,25,last_sync_mode,TEXT,1,'',0
card_intelligence,26,last_priority_score,REAL,0,,0
card_intelligence,27,last_priority_context_json,TEXT,1,'{}',0
card_intelligence,28,publication_readiness,TEXT,1,'',0
card_intelligence,29,publication_guardrail,TEXT,1,'',0
card_intelligence,30,publication_rationale,TEXT,1,'',0
card_intelligence,31,publication_updated_at,TEXT,1,'',0
card_intelligence,32,approval_state,TEXT,1,'',0
card_intelligence,33,promotion_state,TEXT,1,'',0
card_intelligence,34,promotion_rationale,TEXT,1,'',0
card_intelligence,35,promotion_updated_at,TEXT,1,'',0
