card_variant_id,card_code,card_name,variant_key,variant_group,tcgplayer_product_id,proposed_market_product_pk,proposed_market_product_id,proposed_market_product_name,confidence_bucket,confidence_reason,evidence_fields,candidate_count,candidate_market_product_pks,candidate_market_product_ids,candidate_market_product_names,proposed_has_usable_market_prices,candidates_with_usable_market_prices
582,EB04-001,Jewelry Bonney,alt,alt,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
584,EB04-002,Jewelry Bonney,alt,alt,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
586,EB04-003,Smoker & Tashigi,sp,sp,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
591,EB04-007,Roronoa Zoro,alt,alt,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
678,EB04-043,Kaku,alt,alt,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
680,EB04-044,Koby,alt,alt,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
686,EB04-048,Rob Lucci,alt,alt,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
691,EB04-052,Sanji,alt,alt,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
698,EB04-058,Borsalino,alt,alt,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
702,EB04-061,Monkey.D.Luffy,alt,alt,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
6149,OP15-001,Krieg,alt,alt,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
6151,OP15-002,Lucy,alt,alt,,,,,NEEDS_REVIEW,R2:set_code+clean_name,deterministic_candidate_pool_without_unique_resolution,1,5456,685338,Lucy,,1
6153,OP15-003,Alvida,alt,alt,,,,,NEEDS_REVIEW,R2:set_code+clean_name,deterministic_candidate_pool_without_unique_resolution,1,5458,685340,Alvida,,1
6158,OP15-007,Gin,alt,alt,,,,,NEEDS_REVIEW,R2:set_code+clean_name,deterministic_candidate_pool_without_unique_resolution,1,5463,685345,Gin,,1
6160,OP15-008,Krieg,alt,alt,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
6175,OP15-022,Brook,alt,alt,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
6179,OP15-025,Kuro,alt,alt,,,,,NEEDS_REVIEW,R2:set_code+clean_name,deterministic_candidate_pool_without_unique_resolution,1,5484,685366,Kuro,,1
6187,OP15-032,Brook,alt,alt,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
6195,OP15-039,Rebecca,alt,alt,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
6203,OP15-046,Sabo,alt,alt,,,,,NEEDS_REVIEW,R2:set_code+clean_name,deterministic_candidate_pool_without_unique_resolution,1,5508,685390,Sabo,,1
6205,OP15-047,Sanji,alt,alt,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
6212,OP15-053,Rebecca,alt,alt,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
6218,OP15-058,Enel,alt,alt,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
6221,OP15-060,Enel,alt,alt,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
6223,OP15-061,Ohm,alt,alt,,,,,NEEDS_REVIEW,R2:set_code+clean_name,deterministic_candidate_pool_without_unique_resolution,1,5528,685410,Ohm,,1
6240,OP15-077,Lightning Dragon,alt,alt,,,,,NEEDS_REVIEW,R2:set_code+clean_name,deterministic_candidate_pool_without_unique_resolution,1,5545,685427,Lightning Dragon,,1
6242,OP15-078,Mamaragan,alt,alt,,,,,NEEDS_REVIEW,R2:set_code+clean_name,deterministic_candidate_pool_without_unique_resolution,1,5547,685429,Mamaragan,,1
6251,OP15-086,Nami,alt,alt,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
6258,OP15-092,Monkey.D.Luffy,alt,alt,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
6265,OP15-098,Monkey.D.Luffy,alt,alt,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
6277,OP15-109,Nico Robin,alt,alt,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
6282,OP15-113,Roronoa Zoro,alt,alt,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
6284,OP15-114,Wyper,alt,alt,,,,,NEEDS_REVIEW,R2:set_code+clean_name,deterministic_candidate_pool_without_unique_resolution,1,5589,685471,Wyper,,1
