market_number	product_name	market_variant_label	market_price	mid_price	captured_at
OP01-002	Trafalgar Law (002)	base	1.13	1.18	2026-04-01T20:09:44.670295+00:00
OP01-003	Monkey.D.Luffy (003) (Parallel)	parallel_1	847.45	1100.0	2026-04-01T20:09:44.672274+00:00
OP01-008	Cavendish (Box Topper)	promo	2.59	4.12	2026-04-01T20:09:44.672596+00:00
OP01-024	Monkey.D.Luffy (024)	base	2.17	3.0	2026-04-01T20:09:44.673339+00:00
OP01-024	Monkey.D.Luffy (024) (Parallel)	parallel_1	138.63	144.95	2026-04-01T20:09:44.674962+00:00
OP01-025	Roronoa Zoro (025)	base	6.03	6.99	2026-04-01T20:09:44.675632+00:00
OP01-025	Roronoa Zoro (025) (Parallel)	parallel_3	171.73	168.25	2026-04-01T20:09:44.676563+00:00
OP01-030	In Two Years!! At the Sabaody Archipelago!!	base	1.58	1.99	2026-04-01T20:09:44.677315+00:00
OP01-034	Inuarashi (Box Topper)	promo	2.17	3.89	2026-04-01T20:09:44.677605+00:00
OP01-040	Kin'emon	base	0.66	0.99	2026-04-01T20:09:44.678612+00:00
