"path","category","recommended_action","reason","safe_to_remove_now","notes"
"data/overlays/asset_job_pointer.txt","active_runtime_pointer","KEEP","Referenced directly by windows/run_miru_asset_job.ps1 and controls the approved asset-job handoff.","no","Do not remove while the scheduled asset-job runner exists."
"data/overlays/printing_market_map_overlay_v1.csv","active_overlay","KEEP","Default high-confidence overlay loaded by pm/app.py for live PM price fallback.","no","Canonical active overlay."
"data/overlays/op01_mismatch_review_queue.csv","active_review_queue","KEEP","Loaded by pm/app.py as the live fail-closed mismatch review queue.","no","Current live review queue; must not be touched."
"data/overlays/chapter19_11_install_plan.csv","active_install_plan","KEEP","Referenced by miru_ai/server.py as a current Chapter 19 install artifact.","no","Current workflow input."
"data/overlays/chapter19_11c_install_panel_image_manifest.json","active_install_manifest","KEEP","Referenced by miru_ai/server.py for current Chapter 19 panel image work.","no","Current workflow input."
"data/overlays/chapter19_12_price_hydration.csv","active_hydration_input","KEEP","Referenced by miru_ai/server.py for current hydration workflow.","no","Current workflow input."
"data/overlays/optcg_api_op01_normalized.csv","active_normalized_dataset","KEEP","Used as the output/input boundary for current OPTCG API OP01 planner tooling.","no","Referenced by tools/optcg_api_op01_normalizer.py and planner helpers."
"data/overlays/multiset_optcg_normalizer_plan.csv","active_planning_input","KEEP","Companion planning artifact for current OPTCG normalization work.","no","Retain until multiset normalization work is closed."
"data/overlays/op01_033_mismatch_audit_20260407.csv","current_review_support","KEEP","Same-day audit evidence tied to unresolved OP01 mismatch review work.","no","Protect while the adjacent queue remains open."
"data/overlays/op01_mismatch_review_result.csv","current_review_output","KEEP","Fresh result file adjacent to the active mismatch queue and current-day review work.","no","Keep until the queue is fully resolved."
"data/image_fetch_manifest.json","active_manual_fetch_manifest","KEEP","Consumed by tools/phase_b_fetch_images.py for manual fetch execution.","no","Manual workflow input."
"data/phase_a_classification_log.json","active_phase_input","KEEP","Consumed by tools/phase_a_step2_image_fetch_manifest.py to build the current fetch manifest.","no","Manual workflow input."
"data/phase_b_fetch_log.json","active_phase_log","KEEP","Consumed by tools/phase_b_retry_fetch_failed.py for retry logic.","no","Manual workflow state."
"data/card_catalog.db","canonical_db","KEEP","This is the canonical catalog DB used across PM, Miru AI, diagnostics, and tools.","no","Do not confuse with the stale root-level duplicate."
"data/startup-logs/","live_runtime_state","KEEP","Contains current pid files and recent stdout/stderr logs for active services.","no","Do not remove while services may still be using these files."
"data/overlays/chapter19_11b_image_fetch_report.csv","completed_report","ARCHIVE","Historical fetch report for a completed Chapter 19 sub-step; not loaded by runtime code.","no","Archive off the repo root if you want to preserve provenance."
"data/overlays/chapter19_11b_image_fetch_summary.txt","completed_report","ARCHIVE","Summary companion to a completed Chapter 19 sub-step.","no","Archive with the paired report."
"data/overlays/chapter19_11c_image_resolution_and_fetch_report.csv","completed_report","ARCHIVE","Completed report artifact; the manifest is the active file, not this report.","no","Safe to archive after preserving audit history."
"data/overlays/chapter19_11c_image_resolution_and_fetch_summary.txt","completed_report","ARCHIVE","Summary companion to the completed Chapter 19 resolution report.","no","Archive with the paired report."
"data/overlays/chapter19_7_install_plan.csv","historical_install_plan","ARCHIVE","Historical Chapter 19 install plan not referenced by current runtime code.","no","Retain only as historical evidence."
"data/overlays/chapter19_7_install_plan.sql","historical_install_plan","ARCHIVE","SQL companion to a historical install plan.","no","Archive with the paired CSV."
"data/overlays/chapter19_14_install_plan.csv","historical_install_plan","ARCHIVE","Historical Chapter 19 install plan not currently wired into runtime code.","no","Retain only if you want an audit trail."
"data/overlays/chapter19_14_install_plan.sql","historical_install_plan","ARCHIVE","SQL companion to a historical install plan.","no","Archive with the paired CSV."
"data/overlays/chapter19_8_live_pm_verification.csv","historical_verification","ARCHIVE","Completed verification artifact; useful as evidence but not a live input.","no","Archive rather than delete."
"data/overlays/chapter19_8_post_install_verification.csv","historical_verification","ARCHIVE","Completed verification output; not referenced by current code.","no","Archive rather than delete."
"data/overlays/bulk_official_image_refresh_results.csv","historical_refresh_log","ARCHIVE","Large results ledger from a completed bulk refresh run; not a runtime dependency.","no","Good archive candidate because it is large and audit-oriented."
"data/overlays/op01_fetch_mirror_planning.csv","planning_artifact","ARCHIVE","Planning output for a completed OP01 fetch-mirror pass.","no","Retain only if you want to preserve planning history."
"data/overlays/op01_image_quality_refresh_results.csv","historical_refresh_log","ARCHIVE","Generated output from the OP01 image quality audit helper; not a runtime dependency.","no","Pairs with the raw audit dump."
"data/overlays/op01_image_quality_sampling.csv","historical_sampling_output","ARCHIVE","Sampling output from OP01 image quality review; not a live input.","no","Archive with related OP01 quality artifacts."
"data/overlays/op01_image_root_correction_results.csv","f_drive_duplicate_audit","ARCHIVE","Useful evidence of redundant F-drive image outputs and D-drive corrections, but not a live input.","no","Strong archive candidate for documenting mistaken duplicate output references."
"data/overlays/op01_promo_path_fix_results.csv","historical_fix_report","ARCHIVE","Generated report from a targeted OP01 promo path-fix helper; not consumed by runtime code.","no","Keep only as change evidence."
"diagnostics/card_catalog_map_candidates_20260404_001513/","stale_diag_bundle","ARCHIVE","Superseded by the later 20260404_001525 rerun of the same candidate export.","no","Older rerun should be archived first, not deleted."
"diagnostics/card_catalog_map_candidates_20260404_001525/","historical_diag_bundle","ARCHIVE","Latest map-candidates source bundle; overlay rows still cite this run, so preserve it outside the hot path.","no","Do not delete casually because it anchors overlay provenance."
"diagnostics/card_catalog_overlay_dryrun_20260404_002605/","historical_diag_bundle","ARCHIVE","Dry-run simulation output for overlay promotion; valuable for provenance, not runtime.","no","Archive together as one bundle."
"diagnostics/card_catalog_probe_20260403_225927/","historical_diag_bundle","ARCHIVE","Read-only probe export with many sample CSVs and stale F-drive references; useful history, not active workflow.","no","Good archive candidate."
"diagnostics/card_catalog_reconciliation_20260403_234159/","stale_diag_bundle","ARCHIVE","Early reconciliation snapshot superseded by later same-evening reruns.","no","Archive instead of delete."
"diagnostics/card_catalog_reconciliation_20260403_234726/","stale_diag_bundle","ARCHIVE","Mid-run reconciliation snapshot superseded by the later same-evening rerun.","no","Archive instead of delete."
"diagnostics/card_catalog_reconciliation_20260403_235147/","historical_diag_bundle","ARCHIVE","Latest reconciliation bundle is useful for provenance but not a current runtime input.","no","Archive rather than delete."
"query_sp.py","root_oneoff_script","ARCHIVE","One-off root query helper already called out in docs/STRUCTURE_CLEANUP_PLAN.md as root clutter.","no","Prefer moving or archiving rather than deleting outright."
"query_sp_images.py","root_oneoff_script","ARCHIVE","One-off root query helper with hard-coded F-drive assumptions; already called out in the cleanup plan.","no","Archive or relocate if retained."
"variant_recon.py","root_oneoff_script","ARCHIVE","One-off recon script that writes a root CSV and is already identified as root clutter in the cleanup plan.","no","Archive together with the generated CSV."
"variant_recon.csv","generated_recon_output","ARCHIVE","Generated root recon output from a one-off script; not a runtime dependency.","no","Archive with variant_recon.py."
"Miru_Brain_v19.docx","operator_design_doc","ARCHIVE","Historical design doc stored at root; docs cleanup plan already recommends moving it under docs/.","no","Archive or relocate to docs."
"Miru_Brain_v20.docx","operator_design_doc","ARCHIVE","Historical design doc stored at root; docs cleanup plan already recommends moving it under docs/.","no","Archive or relocate to docs."
"load_pub_review_queue.txt","scratch_note","ARCHIVE","Scratch note file called out in the cleanup plan as docs-or-delete material.","no","Archive if you want to preserve operator notes."
"pending_approvals_endpoint.txt","scratch_note","ARCHIVE","Scratch note file called out in the cleanup plan as docs-or-delete material.","no","Archive if you want to preserve operator notes."
"data/card_catalog_backup_20260402.db","manual_backup","ARCHIVE","Intentional backup DB; not canonical, but safer to archive than delete without a retention decision.","no","Large file; good archive target if backup retention is handled elsewhere."
"tools/op01_image_quality_audit.py","temp_helper_script","ARCHIVE","Manual OP01 helper writes audit artifacts and still points at F:/OPTCG_Images, so it looks transitional rather than canonical.","no","Preserve as historical tooling until OP01 work is closed."
"tools/op01_image_refresh_fetch.py","temp_helper_script","ARCHIVE","Manual OP01 helper writes assets and a temp JSON results file; not a runtime entrypoint.","no","Archive only after OP01 cleanup is accepted."
"tools/_promo_audit.py","temp_helper_script","ARCHIVE","Underscored helper script for a narrow promo-path audit pass.","no","Temporary helper created for a specific remediation pass."
"tools/_promo_path_fix.py","temp_helper_script","ARCHIVE","Underscored helper script for a narrow promo-path remediation pass.","no","Temporary helper created for a specific remediation pass."
"tools/op01_fetch_mirror_planner.py","temp_helper_script","ARCHIVE","Manual OP01 planning helper; current value is historical planning, not steady-state runtime.","no","Archive if the mirror-planning pass is closed."
"tmp_base_merge_migration/","completed_tmp_dir","DELETE","Completed migration verification bundle with only small TSV/JSON outputs and no runtime references.","yes","Strong delete candidate."
"tmp_base_suffix_diag/","completed_tmp_dir","DELETE","Completed diagnostic bundle with point-in-time TSV outputs only.","yes","Strong delete candidate."
"tmp_distribution_key_check/","completed_tmp_dir","DELETE","Completed point-in-time query output directory with no live references.","yes","Strong delete candidate."
"tmp_op01_base_diag/","completed_tmp_dir","DELETE","Completed OP01 diagnostic directory with only ad hoc TSV outputs.","yes","Strong delete candidate."
"tmp_op01_rerun_verify/","completed_tmp_dir","DELETE","Completed verification bundle for a rerun pass; no current runtime dependency.","yes","Strong delete candidate."
"tmp_phase1_schema_migration/","completed_tmp_dir","DELETE","Phase 1 migration verification output only; docs cleanup plan already treats tmp_* as disposable.","yes","Strong delete candidate."
"tmp_phase2_data_migration/","completed_tmp_dir","DELETE","Phase 2 migration verification output only; no live workflow reads this directory.","yes","Strong delete candidate."
"tmp_phase3_verify/","completed_tmp_dir","DELETE","Phase 3 verification output only; no live workflow reads this directory.","yes","Strong delete candidate."
"tmp_tcgcsv_op01_fix_verify/","completed_tmp_dir","DELETE","Completed verification bundle for an earlier OP01 fix pass.","yes","Strong delete candidate."
"tmp_tcgcsv_op01_verify/","completed_tmp_dir","DELETE","Completed verification bundle for an earlier OP01 pass.","yes","Strong delete candidate."
"tmp_tcgcsv_verify/","completed_tmp_dir","DELETE","Completed verification bundle with only tiny TSV outputs.","yes","Strong delete candidate."
"tmp_variant_audit/","completed_tmp_dir","DELETE","Temporary audit scratch directory with query text and meta only.","yes","Strong delete candidate."
"tmp_variant_migration/","completed_tmp_dir","DELETE","Completed migration scratch directory with summary/count outputs only.","yes","Strong delete candidate."
"tests/_tmp/","temp_test_output","DELETE","Contains cached DBs, screenshots, JSON reports, and logs from prior test/debug runs.","yes","Delete candidate if you do not need historical test artifacts."
"data/_tmp_image_ingest/","temp_test_output","DELETE","Clearly temporary image-ingest sandbox with tiny placeholder files under a _tmp path.","yes","Strong delete candidate."
"tmp_dev_status_live.json","temp_dump","DELETE","Temp live-status dump already identified as disposable in docs/STRUCTURE_CLEANUP_PLAN.md.","yes","Strong delete candidate."
"tmp_unittest_out.txt","temp_dump","DELETE","Empty temp unittest output file already identified as disposable in the cleanup plan.","yes","Strong delete candidate."
"dev_monitor_context_export.txt","temp_dump","DELETE","Root dev export artifact already identified as disposable in docs/STRUCTURE_CLEANUP_PLAN.md.","yes","Strong delete candidate."
"dashboard_restart.log","stale_log","DELETE","Large stale root log already called out in the cleanup plan; logs belong under logs/ if kept.","yes","Delete if root clutter reduction is the goal."
