card_id,insight_type,insight_text,confidence,updated_at,quality_tier,source_ref,leader_code,generated_at,used_sections_json,sync_reason,source_updated_at,approval_state,is_upcoming
OP01-001,ruling,DON!! rested this turn can be used to pay [Activate: Main] cost on your turn.,0.935,2026-12-31,contextual,community-cardlist|official|official-cardlist,,1774144205,"[""rulings""]",publish_eligible_allowlist,2026-12-31,,0
OP01-002,usage,Roronoa Zoro is a flex piece in OP01-001 lists. You’ll see it in a solid chunk of those lists.,0.672,2026-03-21 18:50:02,contextual,deck_intel|official|official-cardlist|optcg-api,OP01-001,1774144215,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 16:30:20,,0
ST14-014,ruling,ST14-014 If there is / Add up to 1 wording per errata.,0.925,2026-03-11 06:04:47,contextual,official|official-cardlist,,1774144243,"[""rulings""]",publish_eligible_allowlist,2026-03-22 02:38:27,,0
ST10-001,ruling,Banned for official Standard play right now — double-check your event’s format.,0.93,2026-03-20,contextual,official|official-cardlist,,1774144262,"[""legality""]",publish_eligible_allowlist,2026-03-22 02:36:40,,0
ST06-015,ruling,"Banned under current Standard rules — unbanned effective April 1, 2026. Verify your event's format.",0.93,2026-03-22,contextual,official|official-cardlist,,1774144272,"[""legality""]",publish_eligible_allowlist,2026-03-27T04:56:37Z,,0
P-093,price,"Last watch price for Trafalgar Law was about $3.92 — treat it as a snapshot, not a quote.",0.74,2026-03-16 12:18:24,contextual,official-cardlist|prices.json,,1774144313,"[""market""]",publish_eligible_allowlist,2026-03-16T18:27:01Z,,0
P-088,price,"Last watch price for Trafalgar Law was about $16.02 — treat it as a snapshot, not a quote.",0.74,2026-03-16 12:18:20,contextual,official-cardlist|prices.json,,1774144314,"[""market""]",force_rebuild,2026-03-16T18:27:01Z,,0
OP15-023,ruling,OP15-023 errata: DON!! given may be active or rested; wording corrected on official notice.,0.84,2026-03-13 18:11:42,contextual,local-catalog|official,,1774144360,"[""rulings""]",publish_eligible_allowlist,2026-03-20T01:13:11Z,,0
OP14-031,price,"Last watch price for Nami was about $3.71 — treat it as a snapshot, not a quote.",0.74,2026-03-16 12:16:34,contextual,official-cardlist|prices.json,,1774144387,"[""market""]",force_rebuild,2026-03-16T18:27:01Z,,0
OP13-077,ruling,"OP13-077 errata: +3000 power applies during this battle, not this turn.",0.925,2026-03-16 12:15:47,contextual,official|official-cardlist|optcg-api,,1774144405,"[""rulings""]",publish_eligible_allowlist,2026-03-20 03:12:00,,0
OP10-035,usage,Brook is a flex piece in OP10-001 lists. You’ll see it in a solid chunk of those lists.,0.679,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist|optcg-api,OP10-001,1774144501,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP10-036,usage,"Perona is a tech option in OP10-001 lists. It shows up, but not in every list.",0.596,2026-03-21 18:50:02,strategic,deck_intel|official-cardlist,OP10-001,1774144502,"[""top_leaders"", ""usage_meta""]",force_rebuild,2026-03-21 18:50:02,,0
OP10-037,usage,Lim is a tech option in OP10-001 lists. It’s a niche include — not something you see everywhere.,0.511,2026-03-21 18:50:02,strategic,deck_intel|official-cardlist,OP10-001,1774144502,"[""top_leaders"", ""usage_meta""]",force_rebuild,2026-03-21 18:50:02,,0
OP10-031,usage,"Sengoku is a tech option in OP10-001 lists. It shows up, but not in every list.",0.553,2026-03-21 18:50:02,strategic,deck_intel|official-cardlist,OP10-001,1774144502,"[""top_leaders"", ""usage_meta""]",force_rebuild,2026-03-21 18:50:02,,0
