card_variant_id,card_canonical_code,card_card_code,card_name,candidate_market_product_pk,candidate_market_product_external_id,match_score,match_reasons,ambiguity_notes,pool_size,scored_candidates,match_confidence,needs_manual_review
9,EB01-003,,Kid & Killer,2713,544527,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,large_candidate_pool n=10; multiple_scored_candidates n=10; flagged_needs_manual_review,10,10,medium,1
10,EB01-003,,Kid & Killer,2713,544527,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,large_candidate_pool n=10; multiple_scored_candidates n=10; flagged_needs_manual_review,10,10,medium,1
44,EB01-012,,Cavendish,2725,544539,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=4; flagged_needs_manual_review,4,4,medium,1
45,EB01-012,,Cavendish,2725,544539,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=4; flagged_needs_manual_review,4,4,medium,1
51,EB01-013,,Kouzuki Hiyori,2727,544541,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
81,EB01-021,,Hannyabal,2736,544550,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=3; flagged_needs_manual_review,3,3,medium,1
86,EB01-022,,Inazuma,2738,544552,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
101,EB01-027,,Mr.1(Daz.Bonez),2744,544558,111,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;name_token_overlap;source_tcgcsv,multiple_scored_candidates n=4; flagged_needs_manual_review,4,4,medium,1
111,EB01-031,,Kalifa,2749,544563,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
119,EB01-034,,Ms. Wednesday,2753,544567,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
