relationship_id,card_id,related_entity,related_entity_type,relationship_type,evidence_source,confidence,status,notes,created_at,updated_at
1,P-093,OP12-061,leader,supports_leader,operator_knowledge_2026_03_24,high,verified,"P-093 Trafalgar Law is a core Blocker in Rosinante lists. Its On Play DON!! ramp triggers naturally because Rosinante Leader effect returns DON!! to deck, keeping P-093 condition met consistently.",2026-03-25 05:53:39,2026-03-25 05:53:39
2,P-093,OP12-061,leader,enables_tempo_swing,operator_knowledge_2026_03_24,high,verified,"P-093 enters as a Blocker and immediately refunds a rested DON!!, letting Rosinante defend without losing momentum on the following turn.",2026-03-25 05:53:39,2026-03-25 05:53:39
3,EB04-038,OP12-061,leader,supports_leader,operator_knowledge_2026_03_24,high,verified,"EB04-038 Rosinante & Law counts as both Trafalgar Law and Donquixote Rosinante, making it eligible for Leader cost reduction and Leader life-save protection simultaneously.",2026-03-25 05:53:39,2026-03-25 05:53:39
4,EB04-038,OP12-061,leader,provides_draw,operator_knowledge_2026_03_24,high,verified,"EB04-038 draws 1 card and sets 1 DON!! active on entry when DON!! condition is met, turning defensive turns into value turns inside the Rosinante shell.",2026-03-25 05:53:39,2026-03-25 05:53:39
5,EB03-062,OP12-061,leader,enables_finisher,operator_knowledge_2026_03_24,high,verified,"EB03-062 Trafalgar Law has Rush, attacks immediately, then converts itself into Life recovery plus another 7-or-less cost Law from hand. One card becomes pressure, life recovery, and a fresh threat.",2026-03-25 05:53:39,2026-03-25 05:53:39
6,EB03-062,OP12-061,leader,provides_life_recovery,operator_knowledge_2026_03_24,high,verified,"EB03-062 trash effect adds a card from top of deck to Life, partially offsetting the Life the Rosinante Leader spends to protect Law characters.",2026-03-25 05:53:39,2026-03-25 05:53:39
7,OP12-073,OP12-061,leader,payoff_for_setup,operator_knowledge_2026_03_24,high,verified,OP12-073 8000-power Law recovers DON!! on entry and buffs all Rosinante and Heart Pirates characters +1000 until opponent next turn. Rewards the low-DON board state Rosinante naturally creates.,2026-03-25 05:53:39,2026-03-25 05:53:39
8,OP12-115,OP12-061,leader,provides_recursion,operator_knowledge_2026_03_24,high,verified,OP12-115 I Love You!! at 2 or less Life returns a Trafalgar Law from trash to hand. Enables recycling of key Law pieces that have been used or discarded earlier in the game.,2026-03-25 05:53:39,2026-03-25 05:53:39
9,OP12-115,P-093,card,frequently_appears_with,operator_knowledge_2026_03_24,high,verified,"I Love You!! recovers a Law from trash. P-093 is a Law that can be countered first then recovered via I Love You!! for reuse, effectively doubling its counter value across a game.",2026-03-25 05:53:39,2026-03-25 05:53:39
10,ST10-010,OP12-061,leader,supports_leader,operator_knowledge_2026_03_24,high,verified,ST10-010 Trafalgar Law is a hand disruption piece in Rosinante lists. DON!! minus 1 to trash 2 from opponent hand if they hold 7 or more cards. Strips counters from a loaded hand.,2026-03-25 05:53:39,2026-03-25 05:53:39
11,OP12-108,OP12-061,leader,searches_target,operator_knowledge_2026_03_24,high,verified,OP12-108 Donquixote Rosinante is an early setup card that helps dig for Trafalgar Law pieces. Rosinante shell requires Law-heavy hand for Leader cost reduction to function consistently.,2026-03-25 05:53:39,2026-03-25 05:53:39
12,OP09-069,OP12-061,leader,searches_target,operator_knowledge_2026_03_24,high,verified,"OP09-069 Trafalgar Law is a consistency piece that assembles the Law-heavy hand the Leader needs. Without enough Law targets in hand, the cost reduction effect has nothing to work with.",2026-03-25 05:53:39,2026-03-25 05:53:39
13,PRB02-008,OP13-002,leader,supports_leader,operator_knowledge_2026_03_24,high,verified,"PRB02-008 Marco is a Blocker that draws 2 on KO. Combined with Ace Leader drawing when a 6000+ power character is KOd, Marco dying generates 3 cards drawn at once. Core defensive and draw piece.",2026-03-25 05:53:39,2026-03-25 05:53:39
